mpg,cyl,disp,hp,drat,wt,qsec,vs,am,gear,carb
21,6,160,110,NA,2.62,16.46,0,1,-99,NA
21,-88,NA,110,3.9,NA,17.02,0,1,4,NA
22.8,4,108,93,-99,-99,18.61,1,NA,NA,1
NA,-88,258,110,NA,3.215,19.44,1,0,3,NA
18.7,8,360,175,NA,3.44,17.02,0,-99,3,NA
18.1,6,225,NA,NA,3.46,NA,1,0,3,NA
NA,8,360,245,3.21,3.57,15.84,0,0,3,4
24.4,4,146.7,NA,NA,3.19,20,1,-99,4,NA
22.8,4,140.8,95,-99,3.15,22.9,1,0,4,2
19.2,6,167.6,-88,3.92,3.44,18.3,NA,0,4,NA
17.8,6,NA,123,NA,NA,-99,1,NA,NA,-99
NA,8,275.8,180,NA,4.07,17.4,0,0,NA,NA
17.3,-88,275.8,180,-99,3.73,17.6,0,0,3,3
15.2,-88,275.8,NA,NA,3.78,18,-88,0,3,3
-88,8,472,205,NA,5.25,17.98,0,NA,3,-99
10.4,8,460,215,NA,5.424,17.82,-88,-88,3,NA
NA,8,440,230,3.23,NA,17.42,0,NA,NA,-88
32.4,4,78.7,NA,4.08,2.2,NA,1,1,4,1
NA,4,75.7,-88,NA,1.615,18.52,1,1,NA,NA
33.9,-99,71.1,NA,NA,-99,19.9,1,1,4,NA
-99,-99,120.1,NA,NA,NA,20.01,1,NA,3,1
15.5,8,318,NA,NA,NA,-99,0,0,3,2
-88,8,304,150,3.15,3.435,17.3,0,0,3,NA
13.3,8,350,NA,3.73,3.84,15.41,0,0,-88,NA
19.2,-88,400,175,3.08,3.845,17.05,0,0,NA,NA
27.3,4,NA,66,NA,-99,18.9,1,-88,4,NA
NA,NA,120.3,NA,4.43,2.14,16.7,0,NA,5,2
NA,4,95.1,NA,3.77,1.513,16.9,1,-99,5,-88
15.8,8,351,-99,4.22,NA,14.5,0,1,5,-88
19.7,6,NA,-88,NA,2.77,15.5,0,-99,5,NA
15,8,301,NA,3.54,NA,14.6,0,1,NA,8
21.4,-99,-99,-88,NA,2.78,18.6,1,1,4,2
